iter	Passed	Remaining
236	1095	3528
237	1099	3520
238	1103	3513
239	1109	3512
240	1113	3506
241	1116	3498
242	1120	3490
243	1127	3494
244	1131	3487
245	1135	3478
246	1142	3482
247	1147	3479
248	1151	3473
249	1159	3477
250	1162	3469
251	1166	3462
252	1171	3458
253	1176	3454
254	1179	3447
255	1183	3438
256	1190	3442
257	1196	3439
258	1199	3432
259	1206	3435
260	1211	3430
261	1215	3424
262	1223	3427
263	1227	3422
264	1231	3415
265	1238	3418
266	1243	3414
267	1247	3406
268	1253	3405
269	1258	3402
270	1262	3395
271	1266	3390
272	1273	3391
273	1277	3384
274	1280	3377
275	1289	3381
276	1293	3377
277	1299	3374
278	1305	3373
279	1309	3367
280	1313	3362
281	1320	3362
282	1323	3354
283	1327	3346
284	1335	3350
285	1340	3345
286	1343	3338
287	1351	3340
288	1355	3333
289	1358	3325
290	1363	3321
291	1368	3319
292	1372	3311
293	1376	3306
294	1383	3306
295	1387	3299
296	1390	3292
297	1397	3293
298	1403	3289
299	1407	3285
300	1416	3289
301	1420	3282
302	1423	3274
303	1431	3276
304	1434	3269
305	1438	3261
306	1443	3258
307	1449	3255
308	1452	3248
309	1456	3241
310	1463	3242
311	1467	3235
312	1471	3229
313	1478	3231
314	1482	3224
315	1486	3217
316	1491	3212
317	1497	3210
318	1500	3204
319	1505	3198
320	1512	3199
321	1516	3193
322	1520	3186
323	1529	3190
324	1532	3183
325	1537	3178
326	1544	3179
327	1548	3172
328	1551	3165
329	1559	3166
330	1563	3159
331	1566	3152
332	1571	3147
333	1576	3143
334	1580	3138
335	1584	3130
336	1590	3129
337	1594	3122
338	1597	3115
339	1601	3108
340	1605	3102
341	1608	3094
342	1612	3089
343	1617	3083
344	1620	3077
345	1624	3069
346	1627	3062
347	1630	3054
348	1635	3050
349	1639	3045
350	1643	3038
351	1646	3031
352	1650	3025
353	1653	3018
354	1657	3011
355	1660	3003
356	1663	2996
357	1667	2990
358	1671	2983
359	1674	2976
360	1677	2969
361	1681	2964
362	1685	2957
363	1688	2950
364	1691	2943
365	1695	2936
366	1698	2930
367	1702	2923
368	1705	2916
369	1708	2909
370	1712	2902
371	1715	2896
372	1718	2889
373	1722	2882
374	1725	2875
375	1728	2868
376	1732	2862
377	1735	2855
378	1738	2848
379	1741	2842
380	1745	2835
381	1749	2829
382	1752	2823
383	1755	2816
384	1758	2809
385	1763	2804
386	1766	2797
387	1769	2791
388	1773	2785
389	1776	2779
390	1780	2773
391	1784	2767
392	1787	2760
393	1790	2754
394	1794	2749
395	1798	2742
396	1801	2736
397	1805	2730
398	1808	2724
399	1812	2718
400	1815	2712
401	1819	2705
402	1822	2699
403	1826	2694
404	1830	2689
405	1834	2684
406	1838	2678
407	1842	2673
408	1847	2670
409	1851	2664
410	1855	2658
411	1861	2656
412	1866	2652
413	1871	2648
414	1879	2649
415	1884	2644
416	1888	2639
417	1896	2640
418	1899	2634
419	1903	2629
420	1912	2629
421	1916	2625
422	1921	2620
423	1928	2620
424	1932	2614
425	1936	2609
426	1944	2609
427	1948	2604
428	1952	2598
429	1960	2598
430	1963	2592
431	1967	2587
432	1975	2587
433	1979	2581
434	1983	2575
435	1989	2573
436	1994	2569
437	1998	2564
438	2003	2560
439	2009	2557
440	2012	2551
441	2016	2545
442	2023	2544
443	2027	2538
444	2031	2533
445	2038	2532
446	2042	2526
447	2046	2521
448	2052	2519
449	2057	2514
450	2061	2509
451	2068	2507
452	2073	2503
453	2077	2498
454	2082	2494
455	2088	2491
456	2092	2486
457	2097	2481
458	2102	2478
459	2107	2473
460	2111	2468
461	2119	2468
462	2124	2464
463	2130	2461
464	2136	2458
465	2141	2453
466	2146	2449
467	2151	2445
468	2156	2441
469	2161	2437
470	2166	2432
471	2170	2428
472	2176	2425
473	2184	2424
474	2188	2419
475	2192	2413
476	2200	2412
477	2204	2407
478	2209	2403
479	2213	2397
480	2217	2392
481	2222	2388
482	2227	2384
483	2230	2378
484	2234	2372
485	2238	2367
486	2243	2363
487	2248	2359
488	2252	2354
489	2256	2348
490	2265	2348
491	2270	2344
492	2276	2340
493	2282	2337
494	2286	2332
495	2294	2331
496	2300	2328
497	2304	2323
498	2315	2324
499	2319	2319
500	2326	2317
501	2331	2313
502	2335	2307
503	2345	2308
504	2352	2306
505	2360	2304
506	2365	2299
507	2371	2296
508	2378	2294
509	2383	2289
510	2390	2287
511	2394	2282
512	2397	2276
513	2403	2272
514	2408	2268
515	2412	2262
516	2418	2259
517	2426	2257
518	2430	2252
519	2438	2250
520	2443	2246
521	2448	2242
522	2455	2239
523	2459	2234
524	2463	2228
525	2471	2226
526	2474	2221
527	2478	2215
528	2484	2211
529	2489	2207
530	2492	2201
531	2496	2196
532	2503	2193
533	2508	2189
534	2520	2190
535	2523	2184
536	2528	2180
537	2537	2178
538	2541	2173
539	2545	2168
540	2553	2166
541	2557	2161
542	2561	2156
543	2567	2152
544	2571	2146
545	2575	2141
546	2580	2137
547	2584	2131
548	2588	2126
549	2591	2120
550	2595	2115
551	2599	2109
552	2604	2104
553	2610	2101
554	2614	2096
555	2619	2092
556	2623	2086
557	2631	2084
558	2636	2079
559	2640	2074
560	2645	2070
561	2648	2064
562	2652	2059
563	2657	2054
564	2662	2049
565	2666	2044
566	2670	2039
567	2677	2036
568	2682	2031
569	2686	2026
570	2692	2022
571	2698	2019
572	2702	2014
573	2708	2010
574	2713	2005
575	2717	2000
576	2721	1995
577	2728	1991
578	2732	1986
579	2736	1981
580	2743	1978
581	2748	1973
582	2752	1968
583	2760	1966
584	2764	1961
585	2767	1955
586	2775	1952
587	2779	1947
588	2782	1941
589	2790	1938
590	2794	1933
591	2798	1928
592	2804	1924
593	2809	1920
594	2813	1915
595	2818	1910
596	2824	1906
597	2827	1900
598	2832	1895
599	2841	1894
600	2845	1889
601	2850	1884
602	2858	1881
603	2863	1877
604	2873	1876
605	2876	1870
606	2879	1864
607	2887	1861
608	2891	1856
609	2894	1850
610	2900	1846
611	2904	1841
612	2907	1835
613	2911	1830
614	2915	1825
615	2919	1820
616	2923	1814
617	2927	1809
618	2934	1806
619	2938	1801
620	2942	1795
621	2946	1790
622	2951	1786
623	2954	1780
624	2958	1775
625	2963	1770
626	2967	1765
627	2970	1759
628	2973	1753
629	2976	1748
630	2982	1744
631	2986	1738
632	2989	1733
633	2992	1727
634	2996	1722
635	2999	1716
636	3002	1711
637	3006	1705
638	3009	1700
639	3012	1694
640	3016	1689
641	3019	1683
642	3022	1678
643	3026	1672
644	3029	1667
645	3032	1662
646	3036	1656
647	3039	1651
648	3043	1645
649	3046	1640
650	3049	1635
651	3053	1629
652	3056	1624
653	3061	1619
654	3064	1614
655	3068	1609
656	3071	1603
657	3077	1599
658	3081	1594
659	3085	1589
660	3090	1584
661	3095	1580
662	3098	1575
663	3102	1569
664	3105	1564
665	3109	1559
666	3112	1554
667	3116	1548
668	3119	1543
669	3123	1538
670	3126	1532
671	3129	1527
672	3132	1522
673	3135	1516
674	3139	1511
675	3142	1506
676	3146	1501
677	3149	1495
678	3152	1490
679	3156	1485
680	3159	1480
681	3162	1474
682	3166	1469
683	3169	1464
684	3173	1459
685	3176	1454
686	3180	1448
687	3183	1443
688	3187	1438
689	3190	1433
690	3193	1428
691	3197	1423
692	3200	1417
693	3204	1412
694	3208	1407
695	3211	1402
696	3214	1397
697	3218	1392
698	3223	1387
699	3226	1382
700	3230	1377
701	3234	1373
702	3239	1368
703	3242	1363
704	3245	1358
705	3251	1353
706	3255	1349
707	3259	1344
708	3263	1339
709	3269	1335
710	3273	1330
711	3276	1325
712	3279	1320
713	3283	1315
714	3287	1310
715	3290	1305
716	3294	1300
717	3298	1295
718	3301	1290
719	3305	1285
720	3310	1280
721	3314	1276
722	3319	1271
723	3323	1266
724	3326	1261
725	3330	1257
726	3334	1252
727	3338	1247
728	3343	1242
729	3349	1238
730	3353	1233
731	3357	1229
732	3365	1225
733	3370	1221
734	3373	1216
735	3381	1212
736	3385	1208
737	3388	1203
738	3392	1198
739	3398	1194
740	3402	1189
741	3405	1184
742	3410	1179
743	3415	1175
744	3418	1170
745	3421	1165
746	3426	1160
747	3430	1155
748	3433	1150
749	3437	1145
750	3441	1141
751	3446	1136
752	3450	1131
753	3453	1126
754	3457	1121
755	3462	1117
756	3466	1112
757	3469	1107
758	3474	1103
759	3478	1098
760	3482	1093
761	3485	1088
762	3489	1084
763	3493	1079
764	3496	1074
765	3500	1069
766	3503	1064
767	3509	1060
768	3513	1055
769	3516	1050
770	3520	1045
771	3524	1040
772	3527	1035
773	3530	1031
774	3534	1026
775	3541	1022
776	3544	1017
777	3548	1012
778	3551	1007
779	3555	1002
780	3559	998
781	3562	993
782	3565	988
783	3572	984
784	3575	979
785	3578	974
786	3582	969
787	3586	964
788	3590	960
789	3593	955
790	3597	950
791	3604	946
792	3607	941
793	3611	936
794	3614	931
795	3620	927
796	3623	923
797	3627	918
798	3630	913
799	3637	909
800	3641	904
801	3644	899
802	3648	895
803	3654	890
804	3657	885
805	3660	881
806	3664	876
807	3669	871
808	3673	867
809	3677	862
810	3681	857
811	3686	853
812	3689	848
813	3692	843
814	3697	839
815	3701	834
816	3705	829
817	3708	825
818	3714	820
819	3720	816
820	3723	811
821	3727	807
822	3734	803
823	3739	798
824	3742	793
825	3750	790
826	3753	785
827	3757	780
828	3763	776
829	3767	771
830	3771	766
831	3774	762
832	3781	758
833	3785	753
834	3789	748
835	3794	744
836	3798	739
837	3801	734
838	3804	730
839	3809	725
840	3814	721
841	3817	716
842	3821	711
843	3825	707
844	3829	702
845	3832	697
846	3835	692
847	3840	688
848	3846	684
849	3850	679
850	3853	674
851	3859	670
852	3863	665
853	3867	661
854	3870	656
855	3874	651
856	3877	647
857	3880	642
858	3884	637
859	3887	632
860	3891	628
861	3895	623
862	3898	618
863	3901	614
864	3905	609
865	3908	604
866	3911	600
867	3915	595
868	3918	590
869	3922	586
870	3925	581
871	3928	576
872	3931	571
873	3935	567
874	3938	562
875	3941	557
876	3944	553
877	3947	548
878	3951	543
879	3954	539
880	3957	534
881	3960	529
882	3963	525
883	3966	520
884	3970	515
885	3973	511
886	3976	506
887	3979	501
888	3982	497
889	3985	492
890	3988	487
891	3991	483
892	3994	478
893	3998	474
894	4001	469
895	4004	464
896	4007	460
897	4010	455
898	4013	450
899	4016	446
900	4019	441
901	4022	437
902	4026	432
903	4028	427
904	4032	423
905	4035	418
906	4039	414
907	4042	409
908	4045	405
909	4049	400
910	4052	395
911	4055	391
912	4058	386
913	4062	382
914	4065	377
915	4069	373
916	4072	368
917	4075	364
918	4078	359
919	4081	354
920	4084	350
921	4087	345
922	4090	341
923	4093	336
924	4097	332
925	4100	327
926	4103	323
927	4106	318
928	4109	314
929	4112	309
930	4116	305
931	4119	300
932	4122	296
933	4126	291
934	4130	287
935	4133	282
936	4136	278
937	4139	273
938	4142	269
939	4145	264
940	4148	260
941	4151	255
942	4155	251
943	4158	246
944	4161	242
945	4164	237
946	4167	233
947	4170	228
948	4174	224
949	4177	219
950	4180	215
951	4183	210
952	4186	206
953	4190	202
954	4194	197
955	4197	193
956	4200	188
957	4204	184
958	4207	179
959	4211	175
960	4214	171
961	4217	166
962	4220	162
963	4224	157
964	4228	153
965	4231	148
966	4234	144
967	4238	140
968	4242	135
969	4245	131
970	4248	126
971	4251	122
972	4255	118
973	4259	113
974	4263	109
975	4266	104
976	4271	100
977	4275	96
978	4278	91
979	4281	87
980	4284	82
981	4288	78
982	4292	74
983	4295	69
984	4298	65
985	4302	61
986	4306	56
987	4310	52
988	4313	47
989	4316	43
990	4319	39
991	4323	34
992	4326	30
993	4330	26
994	4333	21
995	4336	17
996	4340	13
997	4343	8
998	4347	4
999	4350	0
